Date,Description,Amount
20240202,C*********91:snapshotvaluenonpro For Feb 2024 ,-10
20240202,C*********91:snapshotvaluenonpro For Jan 2024 ,10
20240205,C*********91:abcopranp For Feb 2024 ,-4.5
20240205,C*********91:cusip ,-1
20240305,C*********91:abcopranp For Mar 2024 ,-4.5
20240305,C*********91:cusip ,1
20240305,C*********91:cusip ,-1
20240305,C*********91:quote Booster Packs P For Feb 2024 ,-30
20240305,C*********91:snapshotvaluenonpro For Feb 2024 ,10
20240305,C*********91:snapshotvaluenonpro For Mar 2024 ,-10
20240402,C*********91:abcopranp For Apr 2024 ,-4.5
20240402,C*********91:snapshotvaluenonpro For Apr 2024 ,-10
20240403,C*********91:cusip ,1
20240403,C*********91:cusip ,-1
20240403,C*********91:quote Booster Packs P For Mar 2024 ,-30
20240403,C*********91:snapshotvaluenonpro For Mar 2024 ,10
20240502,C*********91:abcopranp For May 2024 ,-4.5
20240502,C*********91:cusip ,1
20240502,C*********91:cusip ,-1
20240502,C*********91:quote Booster Packs P For Apr 2024 ,-30
20240502,C*********91:snapshotvaluenonpro For Apr 2024 ,10
20240502,C*********91:snapshotvaluenonpro For May 2024 ,-10
20240604,C*********91:abcopranp For Jun 2024 ,-4.5
20240604,C*********91:cusip ,1
20240604,C*********91:cusip ,-1
20240604,C*********91:quote Booster Packs P For May 2024 ,-30
20240604,C*********91:snapshotvaluenonpro For Jun 2024 ,-10
20240604,C*********91:snapshotvaluenonpro For May 2024 ,10
20240702,C*********91:abcopranp For Jul 2024 ,-4.5
20240702,C*********91:cusip ,1
20240702,C*********91:cusip ,-1
20240702,C*********91:quote Booster Packs P For Jun 2024 ,-30
20240702,C*********91:snapshotvaluenonpro For Jul 2024 ,-10
20240702,C*********91:snapshotvaluenonpro For Jun 2024 ,10
20240802,C*********91:abcopranp For Aug 2024 ,-4.5
20240802,C*********91:cusip ,1
20240802,C*********91:cusip ,-1
20240802,C*********91:quote Booster Packs P For Jul 2024 ,-30
20240802,C*********91:snapshotvaluenonpro For Aug 2024 ,-10
20240802,C*********91:snapshotvaluenonpro For Jul 2024 ,10
20240904,C*********91:abcopranp For Sep 2024 ,-4.5
20240904,C*********91:cusip ,1
20240904,C*********91:cusip ,-1
20240904,C*********91:quote Booster Packs P For Aug 2024 ,-30
20240904,C*********91:snapshotvaluenonpro For Aug 2024 ,10
20240904,C*********91:snapshotvaluenonpro For Sep 2024 ,-10
20241002,C*********91:abcopranp For Oct 2024 ,-4.5
20241002,C*********91:cusip ,1
20241002,C*********91:cusip ,-1
20241002,C*********91:quote Booster Packs P For Sep 2024 ,-30
20241002,C*********91:snapshotvaluenonpro For Oct 2024 ,-10
20241002,C*********91:snapshotvaluenonpro For Sep 2024 ,10
20241104,C*********91:abcopranp For Nov 2024 ,-4.5
20241104,C*********91:cusip ,1
20241104,C*********91:cusip ,-1
20241104,C*********91:quote Booster Packs P For Oct 2024 ,-30
20241104,C*********91:snapshotvaluenonpro For Nov 2024 ,-10
20241104,C*********91:snapshotvaluenonpro For Oct 2024 ,10
20241203,C*********91:abcopranp For Dec 2024 ,-4.5
20241203,C*********91:cusip ,1
20241203,C*********91:cusip ,-1
20241203,C*********91:quote Booster Packs P For Nov 2024 ,-30
20241203,C*********91:snapshotvaluenonpro For Dec 2024 ,-10
20241203,C*********91:snapshotvaluenonpro For Nov 2024 ,10
20250103,C*********91:abcopranp For Jan 2025 ,-4.5
20250103,C*********91:cusip ,1
20250103,C*********91:cusip ,-1
20250103,C*********91:quote Booster Packs P For Dec 2024 ,-30
20250103,C*********91:snapshotvaluenonpro For Dec 2024 ,10
20250103,C*********91:snapshotvaluenonpro For Jan 2025 ,-10
20250204,C*********91:abcopranp For Feb 2025 ,-4.5
20250204,C*********91:cusip ,1
20250204,C*********91:cusip ,-1
20250204,C*********91:quote Booster Packs P For Jan 2025 ,-30
20250204,C*********91:snapshotvaluenonpro For Feb 2025 ,-10
20250204,C*********91:snapshotvaluenonpro For Jan 2025 ,10
20250304,C*********91:abcopranp For Mar 2025 ,-4.5
20250304,C*********91:cusip ,1
20250304,C*********91:cusip ,-1
20250304,C*********91:quote Booster Packs P For Feb 2025 ,-30
20250304,C*********91:snapshotvaluenonpro For Feb 2025 ,10
20250304,C*********91:snapshotvaluenonpro For Mar 2025 ,-10
20250402,C*********91:abcopranp For Apr 2025 ,-4.5
20250402,C*********91:cusip ,-1
20250402,C*********91:quote Booster Packs P For Mar 2025 ,-30
20250402,C*********91:snapshotvaluenonpro For Apr 2025 ,-10
20250502,C*********91:abcopranp For May 2025 ,-4.5
20250502,C*********91:cusip ,1
20250502,C*********91:cusip ,-1
20250502,C*********91:quote Booster Packs P For Apr 2025 ,-30
20250502,C*********91:snapshotvaluenonpro For Apr 2025 ,10
20250502,C*********91:snapshotvaluenonpro For May 2025 ,-10
20250603,C*********91:abcopranp For Jun 2025 ,-4.5
20250603,C*********91:cusip ,1
20250603,C*********91:cusip ,-1
20250603,C*********91:quote Booster Packs P For May 2025 ,-30
20250603,C*********91:snapshotvaluenonpro For Jun 2025 ,-10
20250702,C*********91:abcopranp For Jul 2025 ,-4.5
20250702,C*********91:cusip ,-1
20250702,C*********91:quote Booster Packs P For Jun 2025 ,-30
20250702,C*********91:snapshotvaluenonpro For Jul 2025 ,-10
20250804,C*********91:abcopranp For Aug 2025 ,-4.5
20250804,C*********91:cusip ,-1
20250804,C*********91:quote Booster Packs P For Jul 2025 ,-30
20250804,C*********91:snapshotvaluenonpro For Aug 2025 ,-10
20250903,C*********91:quote Booster Packs P For Aug 2025 ,-30
20250903,C*********91:snapshotvaluenonpro For Sep 2025 ,-10
20250904,C*********91:abcopranp For Sep 2025 ,-4.5
20250904,C*********91:cusip ,-1
20251003,C*********91:quote Booster Packs P For Sep 2025 ,-30
20251003,D******68:abcopranp For Oct 2025 ,-4.5
20251003,D******68:cusip ,-1
20251003,D******68:snapshotvaluenonpro For Oct 2025 ,-10
20251104,C*********91:quote Booster Packs P For Oct 2025 ,-30
20251104,Cancel[d******68:cusip ,1
20251104,D******68:abcopranp For Nov 2025 ,-4.5
20251104,D******68:cusip ,-1
20251104,D******68:snapshotvaluenonpro For Nov 2025 ,-10
20251202,C*********91:abcopranp For Dec 2025 ,-4.5
20251202,C*********91:cusip ,-1
20251202,C*********91:quote Booster Packs P For Nov 2025 ,-30
20251202,C*********91:snapshotvaluenonpro For Dec 2025 ,-10
20260105,C*********91:abcopranp For Jan 2026 ,-4.5
20260105,C*********91:cusip ,-1
20260105,C*********91:quote Booster Packs P For Dec 2025 ,-30
20260105,C*********91:snapshotvaluenonpro For Jan 2026 ,-10
