Symbol,Description,FinancialInstrument,Sector,AvgWeight,Return,Contribution,Unrealized_P&L,Realized_P&L,Open
IBIT,ISHARES BITCOIN TRUST ETF,ETFs,Broad,78.810655168,74.955158037,20.791160478,"31,158.88","2,417.14",Yes
ICOL,ISHARES MSCI COLOMBIA ETF,ETFs,Broad,0.914569314,0.282041283,-0.007548396,0.00,-30.36,No
IGOV,ISHARES INTERNATIONAL TREASU,ETFs,Broad,10.012372787,1.245523825,0.170560099,0.00,497.24,No
IPAY.OLD,ETFMG PRIME MOBILE PAYMENTS,ETFs,Technology,0.254325678,-28.977540279,-0.081303873,0.00,-331.78,No
JEPQ,JPM NASDAQ EQUITY PREMIUM,ETFs,Broad,7.28399741,2.044661167,0.147490352,0.00,603.35,No
JETS,US GLOBAL JETS ETF,ETFs,Industrials,0.555496632,14.155524168,0.073300901,0.00,271.93,No
KBWD,INVESCO KBW HIGH DIVIDEND YI,ETFs,Financials,2.872613509,-9.567918753,-0.297398264,0.00,"-1,003.42",No
KWEB,KRANESH CSI CHINA INTERNET,ETFs,Technology,0.704021125,29.727470662,0.200003523,0.00,744.97,No
LABU.OLD,DRX DLY S&P BIOTECH BULL 3X,ETFs,Broad,1.573582412,-47.11359668,-1.208540086,0.00,"-4,961.81",No
MJ,ETFMG ALTERNATIVE HARVEST,ETFs,Broad,0.085249514,-35.545366018,-0.03764596,0.00,-147.92,No
QYLD,GLOBAL X NASD 100 COV CALL,ETFs,Broad,6.382455582,12.474007103,0.784263183,0.00,"1,734.17",No
RYLD,GLOBAL X RUSSELL 2000 COV CL,ETFs,Broad,6.459140718,-13.547381549,-0.432901253,0.00,"-1,360.08",No
SDIV,GLOBAL X SUPERDIVIDEND ETF,ETFs,Broad,6.200518565,9.547346257,1.152452389,0.00,167.10,No
SHV,ISHARES SHORT TREASURY BOND,ETFs,Government,13.680304791,0.214402115,0.018369498,0.00,-59.14,No
SLV,ISHARES SILVER TRUST,ETFs,Basic Materials,0.277287783,14.737644729,0.038966305,0.00,154.49,No
SPY,SPDR S&P 500 ETF TRUST,ETFs,Broad,0.101111136,0.048445617,0.000048984,0.00,0.19,No
TAN,INVESCO SOLAR ETF,ETFs,Energy,0.790206254,8.710370035,0.035947543,0.00,141.95,No
TBF,PROSHARES SHORT 20+ TREASURY,ETFs,Broad,0.509984998,6.198838958,0.030294278,0.00,116.94,No
TMF,DRX DLY 20+ YR TREAS BULL 3X,ETFs,Broad,1.112774505,-9.021191998,-0.024797898,0.00,"-1,032.26",No
TMF.OLD,DRX DLY 20+ YR TREAS BULL 3X,ETFs,Broad,2.113446489,-13.561530077,-0.325170703,0.00,0.00,No
TMV,DRX DLY 20+ YR TREAS BEAR 3X,ETFs,Broad,0.388974949,20.53205336,0.074380436,0.00,294.39,No
TNA,DIREXION DLY SM CAP BULL 3X,ETFs,Broad,1.123339257,5.207252734,0.109744601,0.00,168.34,No
TYD,DRX DLY 7-10 Y TREAS BULL 3X,ETFs,Broad,3.157262979,-12.034148574,-0.375989425,0.00,"-1,153.89",No
UVXY,PROSHARES ULTRA VIX ST FUTUR,ETFs,Broad,0.408179595,31.105545275,0.10817275,0.00,323.43,No
VGLT,VANGUARD LONG-TERM TREASURY,ETFs,Broad,0.676117854,0.774372541,0.010941686,0.00,43.40,No
WIP,SPDR FTSE INTERNATIONAL GOVE,ETFs,Broad,7.76900594,2.484599134,0.265598938,0.00,500.48,No
XBTF,VANECK BITCOIN STRATEGY ETF,ETFs,Broad,4.797598785,-2.907733529,-0.140021032,0.00,-207.95,No
YINN,DRX DLY FTSE CHINA BULL 3X,ETFs,Broad,1.079170468,20.716213019,0.109554998,0.00,673.56,No
YINN.OLD,DRX DLY FTSE CHINA BULL 3X,ETFs,Broad,1.234850273,9.849040814,0.120047469,0.00,473.33,No
Total ETFs,,,,46.80926006,50.929507021,21.733907137,"31,158.88","-2,145.73"
AAPL  211126C00160000,AAPL 26NOV21 160.0 C,Options,Technology,0.002597385,-100,-0.005194771,0.00,-20.60,No
AAPL  211126C00170000,AAPL 26NOV21 170.0 C,Options,Technology,0.004338598,-100,-0.016806342,0.00,-66.50,No
AAPL  211217P00172500,AAPL 17DEC21 172.5 P,Options,Technology,-0.035121408,128.203131999,-0.039183409,0.00,-154.51,No
AAPL  211217P00177500,AAPL 17DEC21 177.5 P,Options,Technology,0.077259363,97.819470189,0.066098423,0.00,260.58,No
AAPL  221104C00155000,AAPL 04NOV22 155 C,Options,Technology,0.003890454,-100,-0.013775259,0.00,-50.50,No
AAPL  221104P00145000,AAPL 04NOV22 145 P,Options,Technology,0.039262899,441.6110793,0.108016609,0.00,395.41,No
AAPL  230113C00132000,AAPL 13JAN23 132 C,Options,Technology,0.05730318,-23.470215779,-0.0100326,0.00,-41.08,No
AAPL  230120C00135000,AAPL 20JAN23 135 C,Options,Technology,0.203405559,-50.243586594,-0.122799761,0.00,-500.77,No
AAPL  230120C00136000,AAPL 20JAN23 136 C,Options,Technology,0.051681877,175.712338431,0.090811435,0.00,371.60,No
AAPL  230120P00140000,AAPL 20JAN23 140 P,Options,Technology,0.225778449,26.16972944,0.074785138,0.00,310.28,No
AAPL  230127C00146000,AAPL 27JAN23 146 C,Options,Technology,0.041256425,128.484521032,0.05300812,0.00,218.80,No
AAPL  230303C00144000,AAPL 03MAR23 144 C,Options,Technology,0.047584903,123.135329415,0.058593827,0.00,142.90,No
ABNB  230217C00130000,ABNB 17FEB23 130 C,Options,Technology,0.076320191,211.356667554,0.164087975,0.00,410.14,No
ABNB  240216C00180000,ABNB 16FEB24 180 C,Options,Technology,0.077577154,-100,-0.169931046,0.00,-391.47,No
ADBE  221111C00340000,ADBE 11NOV22 340 C,Options,Technology,0.014816363,137.732454137,0.01824776,0.00,68.92,No
ADBE  240315C00670000,ADBE 15MAR24 670 C,Options,Technology,0.086691877,-100,-0.091401535,0.00,-222.89,No
AMZN  230127C00102000,AMZN 27JAN23 102 C,Options,Consumer Cyclicals,0.039875931,44.132934287,0.017598418,0.00,72.64,No
AMZN  230203C00100000,AMZN 03FEB23 100 C,Options,Consumer Cyclicals,0.113502573,22.848022179,0.026729085,0.00,109.91,No
ARM   240216P00112000,ARM 16FEB24 112 P,Options,Technology,0.088170697,-100,-0.140262941,0.00,-322.34,No
ATVI  211217C00080000,ATVI 17DEC21 80.0 C,Options,Telecomm,0.305814105,18.534798219,0.056038937,0.00,223.06,No
ATVI  220218C00070000,ATVI 18FEB22 70.0 C,Options,Telecomm,0.048332282,-20.966918956,-0.008713871,0.00,-34.89,No
BA    220408C00180000,BA 08APR22 180.0 C,Options,Industrials,0.028942897,-100,-0.045887581,0.00,-180.75,No
BA    240517C00220000,BA 17MAY24 220 C,Options,Industrials,0.042729041,-102.295639232,-0.241952076,0.00,-592.07,No
BABA  211203P00120000,BABA 03DEC21 120.0 P,Options,Technology,0.014821711,97.089932675,0.017732599,0.00,68.95,No
BABA  211210P00110000,BABA 10DEC21 110.0 P,Options,Technology,0.019218627,-100,0.093251751,0.00,363.93,No
BABA  221021C00100000,BABA 21OCT22 100 C,Options,Technology,0.088943739,-1.670265679,-0.001485597,0.00,-5.81,No
BABA  230120C00170000,BABA 20JAN23 170 C,Options,Technology,0.294296067,-43.382094756,-0.174697254,0.00,-688.05,No
BABA  230224C00097000,BABA 24FEB23 97 C,Options,Technology,0.099667574,-3.751798811,-0.004569248,0.00,-11.86,No
BABA  230428C00090000,BABA 28APR23 90 C,Options,Technology,0.038536104,-100,-0.098905737,0.00,-244.05,No
BABA  240119C00140000,BABA 19JAN24 140 C,Options,Technology,0.588865334,-60.941291545,-0.485385982,0.00,"-2,011.50",No
BABA  240119C00200000,BABA 19JAN24 200 C,Options,Technology,0.511887792,-31.106806599,-0.078169021,0.00,-303.55,No
BABA  240216C00073000,BABA 16FEB24 73 C,Options,Technology,0.236584377,-19.012434443,-0.04498045,0.00,-103.47,No
BABA  240216C00075000,BABA 16FEB24 75 C,Options,Technology,0.070727339,-15.397959843,-0.011172081,0.00,-25.62,No
BABA1 250620C00080000,BABA1 20JUN25 80 C,Options,Technology,2.495101277,22.696417482,0.792554966,0.00,"1,513.67",No
BABA1 250620C00090000,BABA1 20JUN25 90 C,Options,Technology,0.482731223,41.745301586,0.440698283,0.00,948.81,No
BABA1 260116C00085000,BABA1 16JAN26 85 C,Options,Technology,2.609594032,-27.795632608,-0.743431322,0.00,"-1,794.70",No
BABA2 260116C00085000,BABA2 16JAN26 85 C,Options,Technology,1.970584794,5.661628161,0.125408767,0.00,267.01,No
BABA2 260116C00090000,BABA2 16JAN26 90 C,Options,Technology,4.744277003,64.504851275,2.640933657,0.00,"7,913.57",No
BABA2 261218C00070000,BABA2 18DEC26 70 C,Options,Technology,5.833615101,5.374774868,0.344427475,0.00,742.67,No
BITO  240315C00030000,BITO 15MAR24 30 C,Options,Broad,0.805293231,16.571087337,0.154341574,0.00,372.61,No
BITO  250117C00025000,BITO 17JAN25 25 C,Options,Broad,1.60632532,17.443748628,0.294397449,0.00,701.93,No
BITO  250117C00030000,BITO 17JAN25 30 C,Options,Broad,2.028796397,-49.391304325,-1.340985707,0.00,"-3,158.09",No
C     220121C00070000,C 21JAN22 70.0 C,Options,Financials,0.027524725,-97.383027298,-0.057919454,0.00,-229.84,No
C     220617C00052500,C 17JUN22 52.5 C,Options,Financials,0.038953885,-100,-0.074602538,0.00,-289.75,No
C     250117C00045000,C 17JAN25 45 C,Options,Financials,0.289554412,58.040631262,0.195505221,0.00,455.98,No
COUP  211210P00100000,COUP 10DEC21 100.0 P,Options,Technology,0.008970318,-100,-0.023421651,0.00,-91.87,No
DASH  230217P00055000,DASH 17FEB23 55 P,Options,Technology,-0.013681372,-91.928699119,0.011601698,0.00,28.92,No
DASH  230217P00060000,DASH 17FEB23 60 P,Options,Technology,0.043261604,-91.787203591,-0.037909498,0.00,-94.53,No
EWZ   211217C00032000,EWZ 17DEC21 32.0 C,Options,Broad,0.206018855,-24.064031058,-0.085000761,0.00,-338.56,No
EWZ   230120C00030000,EWZ 20JAN23 30 C,Options,Broad,1.137457704,62.346568539,0.804992388,0.00,"3,200.68",No
FSLY  240216P00020000,FSLY 16FEB24 20 P,Options,Technology,0.047702407,207.366209223,0.104233631,0.00,239.91,No
FXI   250117C00027850,FXI 17JAN25 27.85 C,Options,Broad,0.544788512,49.59933093,0.293599953,0.00,"1,112.81",No
GOLD  240119C00015000,GOLD 19JAN24 15 C,Options,Basic Materials,0.170944781,-26.939811898,-0.07937836,0.00,-309.96,No
GOLD  250117C00015000,GOLD 17JAN25 15 C,Options,Basic Materials,0.331785696,38.976300844,0.136689472,0.00,298.40,No
GOOGL 230127C00098000,GOOGL 27JAN23 98 C,Options,Telecomm,0.068822253,14.823283925,0.010201718,0.00,42.11,No
GOOGL 230210C00100000,GOOGL 10FEB23 100 C,Options,Telecomm,0.035641203,-100,-0.088943813,0.00,-223.05,No
GOOGL 230217C00097000,GOOGL 17FEB23 97 C,Options,Telecomm,0.040066064,85.356737146,0.034199085,0.00,85.47,No
GOOGL 230224C00092000,GOOGL 24FEB23 92 C,Options,Telecomm,0.029795028,-100,-0.051936368,0.00,-128.05,No
GOOGL 230303C00090000,GOOGL 03MAR23 90 C,Options,Telecomm,0.03971211,131.232737957,0.052115289,0.00,127.10,No
HOOD  240216C00015000,HOOD 16FEB24 15 C,Options,Technology,0.064310542,-31.336881506,-0.022125465,0.00,-56.55,No
IBKR  250919C00043750,IBKR 19SEP25 43.75 C,Options,Financials,0.601106854,72.759858935,0.274984585,0.00,845.33,No
INTC  220715C00045000,INTC 15JUL22 45 C,Options,Technology,0.059806071,23.526400789,0.012857,0.00,49.32,No
INTC  261218C00015000,INTC 18DEC26 15 C,Options,Technology,3.37661967,-40.423508628,-1.43744496,0.00,"-3,370.03",No
JD    250117C00040000,JD 17JAN25 40 C,Options,Consumer Cyclicals,0.246087702,-81.566188758,-0.330111273,0.00,-828.41,No
JETS  230120C00016860,JETS 20JAN23 16.86 C,Options,Industrials,0.057561646,3.939595113,0.002211293,0.00,8.31,No
KOLD  220520C00007000,KOLD 20MAY22 7.0 C,Options,Basic Materials,0.048824338,69.077768265,0.031253697,0.00,122.20,No
KWEB  220617C00040000,KWEB 17JUN22 40 C,Options,Technology,0.034569844,76.356462461,0.020569688,0.00,77.64,No
KWEB  260116C00025000,KWEB 16JAN26 25 C,Options,Technology,2.739354081,9.332696685,0.906230423,0.00,"2,176.45",No
KWEB  270115C00025000,KWEB 15JAN27 25 C,Options,Technology,5.489577842,24.720123784,1.352215131,0.00,"3,322.60",No
LAZR  211119C00025000,LAZR 19NOV21 25.0 C,Options,Consumer Cyclicals,0.01431052,-62.198223205,-0.014819392,0.00,-59.19,No
LCID  211119C00070000,LCID 19NOV21 70.0 C,Options,Consumer Cyclicals,0.014363452,37.820551847,0.005428423,0.00,21.75,No
LCID  230120P00040000,LCID 20JAN23 40 P,Options,Consumer Cyclicals,0.29551366,13.315324782,0.03967062,0.00,158.55,No
LCID  230224C00010000,LCID 24FEB23 10 C,Options,Consumer Cyclicals,0.015905129,-100,-0.031600893,0.00,-77.85,No
LUV   230609C00030500,LUV 09JUN23 30.5 C,Options,Industrials,0.179405742,-4.968225831,-0.008913282,0.00,-22.00,No
MDB   211210P00260000,MDB 10DEC21 260.0 P,Options,Technology,0.017412519,-100,-0.051135488,0.00,-200.27,No
META  220617C00250000,META 17JUN22 250 C,Options,Telecomm,0.560191401,48.674834376,0.233958244,0.00,937.18,No
META  221111C00115000,META 11NOV22 115 C,Options,Telecomm,0.008293465,-100,-0.012963517,0.00,-49.04,No
META  230203C00200000,META 03FEB23 200 C,Options,Telecomm,0.022419848,-100,-0.044839696,0.00,-186.89,No
MMM   230623C00104000,MMM 23JUN23 104 C,Options,Consumer Non-Cyc,0.185650395,-1.877198986,-0.003485027,0.00,-8.70,No
MSFT  230120C00240000,MSFT 20JAN23 240 C,Options,Technology,0.116816269,28.287493408,0.028604771,0.00,116.13,No
MSFT  230203C00265000,MSFT 03FEB23 265 C,Options,Technology,0.052251498,53.906278666,0.028166838,0.00,117.19,No
MSFT  230303C00252500,MSFT 03MAR23 252.5 C,Options,Technology,0.065993922,72.584860327,0.047901596,0.00,116.90,No
NEM   250117C00040000,NEM 17JAN25 40 C,Options,Basic Materials,0.339013246,24.481674118,0.081715229,0.00,203.39,No
NFLX  210917P00600000,NFLX 17SEP21 600.0 P,Options,Telecomm,0.162894791,24.558640779,0.040004747,0.00,159.89,No
NKE   250321C00100000,NKE 21MAR25 100 C,Options,Consumer Cyclicals,-0.553048224,-37.424362694,0.265755244,0.00,676.06,No
NKE   250321P00082500,NKE 21MAR25 82.5 P,Options,Consumer Cyclicals,3.14776408,44.441347613,1.189824505,0.00,"3,036.87",No
NKE   270115C00090000,NKE 15JAN27 90 C,Options,Consumer Cyclicals,4.185490136,-27.834427635,-1.448286237,0.00,"-3,723.26",No
NOW   230127P00400000,NOW 27JAN23 400 P,Options,Technology,0.021293413,-100,-0.044161619,0.00,-181.98,No
NVDA  221118C00180000,NVDA 18NOV22 180 C,Options,Technology,0.014350918,-100,-0.021622076,0.00,-83.54,No
NVDA  230120P00200000,NVDA 20JAN23 200 P,Options,Technology,0.290823671,11.171146864,0.032488339,0.00,128.55,No
NXPI  230203C00200000,NXPI 03FEB23 200 C,Options,Technology,0.00614379,-83.425692237,-0.004845324,0.00,-19.93,No
OUST1 240119C00002500,OUST1 19JAN24 2.5 C,Options,Technology,0.054226784,16.002998749,0.008910125,0.00,32.60,No
PFE   220617P00055000,PFE 17JUN22 55 P,Options,Healthcare,0.09426547,40.446984331,0.035123951,0.00,137.93,No
PFE   260116C00020000,PFE 16JAN26 20 C,Options,Healthcare,1.322795252,16.166814358,0.176230362,0.00,468.47,No
PSFE  220414C00005000,PSFE 14APR22 5.0 C,Options,Technology,0.047280976,-58.220942264,-0.050478355,0.00,-202.03,No
PSFE1 230120C00003000,PSFE1 20JAN23 3 C,Options,Technology,0.046432426,-25.678413506,-0.014805402,0.00,-59.25,No
PYPL  230217C00080000,PYPL 17FEB23 80 C,Options,Financials,0.127758786,-21.458332698,-0.027756556,0.00,-69.11,No
PYPL  230224C00074000,PYPL 24FEB23 74 C,Options,Financials,0.078398521,2.616982177,0.001956963,0.00,4.90,No
PYPL  240119C00100000,PYPL 19JAN24 100 C,Options,Financials,0.391758108,-81.006377823,-0.518716213,0.00,"-2,040.59",No
PYPL  260116C00065000,PYPL 16JAN26 65 C,Options,Financials,1.993501234,-23.077199646,-0.649288356,0.00,"-1,608.59",No
PYPL  270115C00070000,PYPL 15JAN27 70 C,Options,Financials,3.924413381,-44.982213089,-1.951915472,0.00,"-6,010.54",No
QCOM  230203C00145000,QCOM 03FEB23 145 C,Options,Technology,0.038072456,-100,-0.064640209,0.00,-269.34,No
QQQ   211020P00374000,QQQ 20OCT21 374.0 P,Options,Broad,0.018525909,-51.232959811,-0.011069221,0.00,-44.08,No
QQQ   211112P00395000,QQQ 12NOV21 395.0 P,Options,Broad,0.048087644,-1.303348342,-0.00062675,0.00,-2.50,No
QQQ   211201P00393000,QQQ 01DEC21 393.0 P,Options,Broad,0.007952724,96.562476489,0.007679347,0.00,29.95,No
QQQ   211215P00385000,QQQ 15DEC21 385.0 P,Options,Broad,0.014906611,-100,-0.029813222,0.00,-117.02,No
QQQ   211217P00370000,QQQ 17DEC21 370.0 P,Options,Broad,0.324024105,39.141655504,0.133931999,0.00,534.30,No
QQQ   220304C00345000,QQQ 04MAR22 345.0 C,Options,Broad,0.121022661,-3.928021611,-0.004753796,0.00,-18.68,No
QQQ   220309P00340000,QQQ 09MAR22 340.0 P,Options,Broad,0.097465909,2.322813065,0.002263951,0.00,8.90,No
QQQ   230125C00289000,QQQ 25JAN23 289 C,Options,Broad,0.04371508,-80.90263741,-0.035366653,0.00,-145.68,No
QQQ   230207C00303000,QQQ 07FEB23 303 C,Options,Broad,0.044391724,157.491565844,0.069913222,0.00,174.89,No
QQQ   230303C00290000,QQQ 03MAR23 290 C,Options,Broad,0.074799344,154.877317912,0.115847218,0.00,282.53,No
QQQ   230308C00298000,QQQ 08MAR23 298 C,Options,Broad,0.148613425,-80.841028872,-0.120140622,0.00,-293.85,No
QQQ   240920P00419780,QQQ 20SEP24 419.78 P,Options,Broad,0.639113329,-59.03736545,-0.619509727,0.00,"-1,513.59",No
RBLX  230120P00080000,RBLX 20JAN23 80 P,Options,Technology,0.239000953,28.622257628,0.069151713,0.00,273.55,No
SAP1  221216C00110000,SAP1 16DEC22 110.0 C,Options,Technology,0.631413611,3.371101754,0.023791177,0.00,72.60,No
SBUX  261218C00070000,SBUX 18DEC26 70 C,Options,Consumer Cyclicals,3.495467044,18.781440352,0.645936626,0.00,"1,538.76",No
SCHW  250117C00050000,SCHW 17JAN25 50 C,Options,Financials,0.521910882,45.966562861,0.184954992,0.00,453.14,No
SCHW  250117C00055000,SCHW 17JAN25 55 C,Options,Financials,0.430602998,-9.94447067,-0.050299479,0.00,-129.36,No
SHOP  230217P00047000,SHOP 17FEB23 47 P,Options,Technology,-0.020317041,349.401219067,-0.067248792,0.00,-168.75,No
SHOP  230217P00050000,SHOP 17FEB23 50 P,Options,Technology,0.049052038,274.035476232,0.133980093,0.00,336.24,No
SKLZ1 240119C00002500,SKLZ1 19JAN24 2.5 C,Options,Technology,0.08363973,35.55947688,0.028236793,0.00,106.88,No
SPCE  230120C00020000,SPCE 20JAN23 20 C,Options,Industrials,0.109499409,-32.774884295,-0.043167259,0.00,-170.63,No
SPY   211203P00450000,SPY 03DEC21 450.0 P,Options,Broad,0.095016069,31.030869899,0.073286333,0.00,285.41,No
SPY   211210P00460000,SPY 10DEC21 460.0 P,Options,Broad,0.012404715,-100,-0.02700967,0.00,-106.28,No
SPY   220509C00415000,SPY 09MAY22 415.0 C,Options,Broad,0.11957921,-4.554954114,-0.005446778,0.00,-20.74,No
SPY   220509P00402000,SPY 09MAY22 402.0 P,Options,Broad,0.044998767,-3.303656491,-0.001486605,0.00,-5.60,No
SPY   220617P00370000,SPY 17JUN22 370 P,Options,Broad,0.114578782,14.626275804,0.017885474,0.00,70.43,No
SPY   220622P00360000,SPY 22JUN22 360 P,Options,Broad,0.048562426,-100,-0.080200624,0.00,-299.05,No
SPY   220701C00400000,SPY 01JUL22 400 C,Options,Broad,0.011313862,-100,-0.037629743,0.00,-143.36,No
SPY   220907C00395000,SPY 07SEP22 395 C,Options,Broad,0.017301633,0.412623823,0.000071391,0.00,0.28,No
SPY   230127C00405000,SPY 27JAN23 405 C,Options,Broad,0.065484371,-2.542536223,-0.001664964,0.00,-6.87,No
SPY   230131P00403000,SPY 31JAN23 403 P,Options,Broad,0.095980897,-86.696956701,-0.083212517,0.00,-342.44,No
SPY   230207P00410000,SPY 07FEB23 410 P,Options,Broad,0.012995454,625.776615127,0.08132251,0.00,203.43,No
SPY   230217C00405000,SPY 17FEB23 405 C,Options,Broad,0.204715707,-5.274586759,-0.010797908,0.00,-26.94,No
SPY   230217C00408000,SPY 17FEB23 408 C,Options,Broad,0.069509029,-28.48488327,-0.019799566,0.00,-49.41,No
SPY   230217P00406000,SPY 17FEB23 406 P,Options,Broad,-0.12408787,6.591596983,-0.008179372,0.00,-20.41,No
SPY   230307P00401000,SPY 07MAR23 401 P,Options,Broad,0.163361911,38.602991045,0.063062584,0.00,154.82,No
SPY   230310C00395000,SPY 10MAR23 395 C,Options,Broad,0.118320737,-99.099967572,-0.132078901,0.00,-321.18,No
SPY   230509C00420000,SPY 09MAY23 420 C,Options,Broad,0.159617604,-18.732081195,-0.029899699,0.00,-73.61,No
SPY   230609P00390000,SPY 09JUN23 390 P,Options,Broad,0.079110193,-100,-0.215907466,0.00,-523.78,No
SPY   230616C00442000,SPY 16JUN23 442 C,Options,Broad,0.03405466,-36.122703692,-0.012301464,0.00,-30.88,No
SPY   230616P00430000,SPY 16JUN23 430 P,Options,Broad,0.219480543,-8.878946037,-0.019487559,0.00,-48.50,No
SPY   241220C00380000,SPY 20DEC24 380 C,Options,Broad,1.570997059,7.390867705,0.126006486,0.00,463.12,No
SQ    230224C00080000,SQ 24FEB23 80 C,Options,Industrials,0.040321126,-100,-0.058449766,0.00,-144.05,No
SQ    250117C00070000,XYZ 17JAN25 70 C,Options,Industrials,-1.804291935,-23.95801548,0.443931089,0.00,"1,040.81",No
SQ    250117P00060000,XYZ 17JAN25 60 P,Options,Industrials,2.628377824,12.40366723,0.346588787,0.00,800.73,No
STLA  270115C00008000,STLA 15JAN27 8 C,Options,Consumer Cyclicals,4.676641763,-3.062204174,-0.051058264,0.00,-356.06,No
TLRY  220408C00009000,TLRY 08APR22 9.0 C,Options,Healthcare,0.007373343,-100,-0.025174862,0.00,-99.70,No
TLRY  220408P00007000,TLRY 08APR22 7.0 P,Options,Healthcare,0.007357958,64.345413232,0.003869873,0.00,15.25,No
TLT   260116C00070000,TLT 16JAN26 70 C,Options,Government,3.344841732,26.53597409,1.206194969,0.00,"2,662.67",No
TLT   260116C00100000,TLT 16JAN26 100 C,Options,Government,0.734974337,-17.415721088,-0.121846563,0.00,-319.46,No
TLT   270115C00080000,TLT 15JAN27 80 C,Options,Government,2.879900964,-29.647890617,-0.906952573,0.00,"-2,584.46",No
TLT   270115C00090000,TLT 15JAN27 90 C,Options,Government,1.755046629,-18.080290484,-0.264831666,0.00,-862.29,No
TLT   270115C00095000,TLT 15JAN27 95 C,Options,Government,2.86207861,-46.963321239,-1.694558592,0.00,"-4,753.78",No
TSLA  221104C00240000,TSLA 04NOV22 240 C,Options,Consumer Cyclicals,0.016278722,-100,-0.054421437,0.00,-199.46,No
TSLA  221104P00200000,TSLA 04NOV22 200 P,Options,Consumer Cyclicals,0.044311816,64.007713635,0.030218623,0.00,109.77,No
TSLA  221118C00200000,TSLA 18NOV22 200 C,Options,Consumer Cyclicals,0.017068166,-100,-0.035254207,0.00,-136.04,No
TSLA  221202P00175000,TSLA 02DEC22 175 P,Options,Consumer Cyclicals,0.008243607,-100,-0.027714971,0.00,-108.04,No
