PayDate,Ex-Date,Symbol,Note,Quantity,DividendPerShare,Amount
20220805,20220801,TOTL,Dividend Payment,160,0.15,23.96
20220811,20220803,PFFD,Dividend Payment,100,0.10,10.5
20220822,20220812,ING,Dividend Payment,200,0.17,34.59
20220826,20220822,PCY,Dividend Payment,1000,0.12,116.99
20220831,20220812,BBN,Dividend Payment,550,0.12,67.59
20220831,20220812,BLW,Dividend Payment,750,0.10,73.58
20220831,20220812,GBAB,Dividend Payment,380,0.13,47.78
20220901,20220823,GDO,Dividend Payment,510,0.10,51.51
20220901,20220812,NUV,Dividend Payment,500,0.03,14
20220901,20220812,NAD,Dividend Payment,500,0.05,27
20220901,20220812,NMI,Dividend Payment,500,0.03,13.75
20220908,20220901,TOTL,Dividend Payment,160,0.16,24.91
20220909,20220818,WBA,Dividend Payment,125,0.48,60
20220914,20220906,PFFD,Dividend Payment,100,0.10,10.5
20220920,20220902,SWK,Dividend Payment,50,0.80,40
20220922,20220907,NEM,Dividend Payment,50,0.55,27.5
20220922,20220901,BHP,Dividend Payment,50,3.50,175
20220923,20220919,PCY,Dividend Payment,1000,0.09,91.83
20220929,20220919,2828,Dividend Payment,4200,0.11,481.5342
20220930,20220914,BLW,Dividend Payment,750,0.10,73.57
20220930,20220914,GBAB,Dividend Payment,380,0.13,47.78
20220930,20220914,BBN,Dividend Payment,550,0.12,67.6
20221003,20220922,GDO,Dividend Payment,510,0.10,51.51
20221003,20220909,PML,Dividend Payment,700,0.06,41.3
20221003,20220914,NAD,Dividend Payment,500,0.05,27
20221003,20220914,NUV,Dividend Payment,500,0.03,14
20221003,20220914,NMI,Dividend Payment,500,0.03,13.75
20221006,20221003,BND,Dividend Payment,150,0.16,23.42
20221007,20221003,TOTL,Dividend Payment,160,0.15,24.64
20221013,20221005,PFFD,Dividend Payment,100,0.10,10.5
20221028,20221024,PCY,Dividend Payment,1000,0.09,92.16
20221031,20221013,BLW,Dividend Payment,750,0.10,73.58
20221031,20221013,GBAB,Dividend Payment,700,0.13,88.01
20221031,20221013,BBN,Dividend Payment,550,0.12,67.6
20221101,20221021,GDO,Dividend Payment,510,0.10,51.51
20221101,20221013,NUV,Dividend Payment,500,0.03,14
20221101,20221013,NAD,Dividend Payment,500,0.05,23.25
20221101,20221013,NMI,Dividend Payment,500,0.03,15
20221101,20221012,PML,Dividend Payment,1000,0.06,59
20221104,20221101,BND,Dividend Payment,150,0.16,24.43
20221107,20221101,TOTL,Dividend Payment,160,0.15,24.18
20221107,20221101,WIP,Dividend Payment,260,0.23,58.89
20221110,20221103,PFFD,Dividend Payment,100,0.10,10.5
20221125,20221121,PCY,Dividend Payment,1000,0.10,101
20221130,20221114,GBAB,Dividend Payment,700,0.13,88.01
20221130,20221114,BLW,Dividend Payment,750,0.10,73.57
20221130,20221114,BBN,Dividend Payment,550,0.12,67.59
20221201,20221114,NMI,Dividend Payment,500,0.03,15
20221201,20221114,NBB,Dividend Payment,660,0.09,61.05
20221201,20221110,PML,Dividend Payment,1000,0.06,59
20221201,20221114,NAD,Dividend Payment,500,0.05,23.25
20221201,20221121,GDO,Dividend Payment,510,0.10,51.51
20221201,20221114,NUV,Dividend Payment,500,0.03,14
20221201,20221129,HNTOIL 6 3/8 06/01/28,Dividend Payment,37000,0.04,1554
20221206,20221201,BND,Dividend Payment,150,0.16,24.69
20221207,20221201,TOTL,Dividend Payment,240,0.16,39.1
20221207,20221201,WIP,Dividend Payment,260,0.30,79.23
20221212,20221114,WBA,Dividend Payment,200,0.48,96
20221213,20221205,PFFD,Dividend Payment,100,0.10,10.5
20221220,20221130,SWK,Dividend Payment,50,0.80,40
20221222,20221214,BBN,Dividend Payment,550,0.10,56.59
20221222,20221214,BLW,Dividend Payment,1005,0.10,98.59
20221223,20221219,WIP,Dividend Payment,260,0.30,78.32
20221223,20221219,PCY,Dividend Payment,1000,0.10,96.5
20221223,20221219,TOTL,Dividend Payment,240,0.28,67.18
20221229,20221223,BND,Dividend Payment,150,0.17,25.85
20221229,20221207,NEM,Dividend Payment,50,0.55,27.5
20221230,20221214,GBAB,Dividend Payment,700,0.13,88.01
20221230,20221214,NMI,Dividend Payment,500,0.03,15
20221230,20221215,BCAT,Dividend Payment,230,0.10,23.94
20221230,20221214,NUV,Dividend Payment,500,0.03,14
20221230,20221214,NBB,Dividend Payment,660,0.09,61.05
20221230,20221214,NAD,Dividend Payment,500,0.05,23.25
20221230,20221221,GDO,Dividend Payment,510,0.10,51.51
20230103,20221209,PML,Dividend Payment,3000,0.06,177
20230103,20221201,BAX,Dividend Payment,50,0.29,14.5
20230131,20230112,BLW,Dividend Payment,1000,0.10,98.1
20230131,20230123,QYLD,Dividend Payment,1300,0.17,220.48
20230131,20230112,BCAT,Dividend Payment,500,0.10,52.05
20230131,20230112,BBN,Dividend Payment,1180,0.10,121.42
20230131,20230112,GBAB,Dividend Payment,700,0.13,88.01
20230201,20230123,GDO,Dividend Payment,510,0.10,51.51
20230201,20230112,PML,Dividend Payment,3250,0.04,128.37
20230201,20230112,NBB,Dividend Payment,660,0.07,47.52
20230201,20230112,NMI,Dividend Payment,500,0.03,15
20230206,20230201,JEPI,Dividend Payment,380,0.44,168.69
20230206,20230201,BND,Dividend Payment,150,0.18,26.39
20230207,20230201,SHV,Dividend Payment,73,0.37,26.97
20230207,20230201,TOTL,Dividend Payment,250,0.16,39.95
20230213,20221230,ITUB,Dividend Payment,400,0.00,1.39
20230228,20230214,GBAB,Dividend Payment,700,0.13,88.01
20230228,20230214,BBN,Dividend Payment,1180,0.10,121.42
20230228,20230214,BCAT,Dividend Payment,500,0.13,63.75
20230301,20230221,QYLD,Dividend Payment,1300,0.17,217.55
20230301,20230210,PML,Dividend Payment,3250,0.04,128.37
20230301,20230214,NBB,Dividend Payment,660,0.07,47.52
20230301,20230221,RYLD,Dividend Payment,270,0.20,52.87
20230306,20230301,BND,Dividend Payment,50,0.16,8.21
20230306,20230301,JEPI,Dividend Payment,380,0.41,156.24
20230323,20230308,NEM,Dividend Payment,57,0.40,22.8
20230328,20230320,RYLD,Dividend Payment,270,0.18,47.52
20230328,20230320,QYLD,Dividend Payment,1300,0.17,219.65
20230330,20230314,TROW,Dividend Payment,40,1.22,48.8
20230331,20230314,GBAB,Dividend Payment,700,0.13,88.01
20230331,20230314,BLW,Dividend Payment,1073,0.10,105.26
20230331,20230314,BCAT,Dividend Payment,500,0.13,63.75
20230331,20230314,BBN,Dividend Payment,1180,0.10,121.42
20230403,20230310,PML,Dividend Payment,3250,0.04,128.38
20230403,20230314,NBB,Dividend Payment,660,0.07,47.52
20230403,20230323,GDO,Dividend Payment,553,0.10,55.85
20230413,20230302,BBD,Dividend Payment,2000,0.00,7.4
20230414,20230405,SDIV,Dividend Payment,900,0.23,207
20230428,20230413,BLW,Dividend Payment,1573,0.10,154.31
20230428,20230413,GBAB,Dividend Payment,1200,0.13,150.88
20230428,20230413,BBN,Dividend Payment,1180,0.10,121.42
20230501,20230413,EAD,Dividend Payment,2000,0.05,99.4
20230501,20230420,HIX,Dividend Payment,3000,0.05,147
20230501,20230420,GDO,Dividend Payment,1453,0.10,146.75
20230502,20230424,QYLD,Dividend Payment,1300,0.17,224.91
20230502,20230424,RYLD,Dividend Payment,870,0.18,158.34
20230505,20230501,SHV,Dividend Payment,400,0.40,159.01
20230508,20230323,BTI,Dividend Payment,130,0.72,94.1
20230509,20230404,BBD,Dividend Payment,2000,0.00,7.59
20230511,20230503,SDIV,Dividend Payment,900,0.21,193.5
20230515,20230428,HAS,Dividend Payment,70,0.70,49
20230531,20230512,GBAB,Dividend Payment,1200,0.13,150.88
20230531,20230522,RYLD,Dividend Payment,870,0.16,140.07
20230531,20230522,QYLD,Dividend Payment,1300,0.17,218.66
20230531,20230512,BBN,Dividend Payment,1180,0.10,121.42
20230531,20230512,BLW,Dividend Payment,1573,0.10,154.31
20230601,20230522,GDO,Dividend Payment,1453,0.10,146.75
20230601,20230522,HIX,Dividend Payment,3000,0.05,147
20230601,20230511,EAD,Dividend Payment,2000,0.05,97.86
20230607,20230601,SHV,Dividend Payment,400,0.48,192.7
20230609,20230511,PFE,Dividend Payment,120,0.41,49.2
20230613,20230605,SDIV,Dividend Payment,900,0.21,193.5
20230628,20230620,RYLD,Dividend Payment,870,0.18,159.12
20230628,20230621,TMF.OLD,Dividend Payment,700,0.05,33.34
20230630,20230601,BAC,Dividend Payment,100,0.22,22
20230630,20230614,GBAB,Dividend Payment,1200,0.13,150.88
20230630,20230614,BBN,Dividend Payment,1180,0.09,109.62
20230630,20230614,BLW,Dividend Payment,1573,0.10,154.31
20230703,20230612,EAD,Dividend Payment,2000,0.05,96.68
20230703,20230622,HIX,Dividend Payment,3000,0.05,147
20230703,20230622,GDO,Dividend Payment,1453,0.10,146.75
20230714,20230706,SDIV,Dividend Payment,900,0.21,193.5
20230724,20230713,CEFD,Dividend Payment,600,0.25,149.82
20230728,20230629,2828,Dividend Payment,4200,0.03,107.7468
20230731,20230713,BLW,Dividend Payment,1573,0.10,154.31
20230731,20230713,GBAB,Dividend Payment,1200,0.13,150.88
20230731,20230713,BBN,Dividend Payment,1180,0.09,109.62
20230801,20230724,RYLD,Dividend Payment,870,0.18,156.34
20230801,20230713,EAD,Dividend Payment,2000,0.05,95.9
20230801,20230721,GDO,Dividend Payment,1453,0.10,146.75
20230801,20230721,HIX,Dividend Payment,3000,0.05,147
20230807,20230801,TLT,Dividend Payment,50,0.28,13.76
20230811,20230803,SDIV,Dividend Payment,900,0.21,189
20230821,20230810,CEFD,Dividend Payment,600,0.21,125.46
20230823,20230713,BTI,Dividend Payment,120,0.73,88.13
20230829,20230821,RYLD,Dividend Payment,870,0.17,151.47
20230831,20230814,GBAB,Dividend Payment,1200,0.13,150.88
20230831,20230814,BLW,Dividend Payment,1573,0.10,154.31
20230831,20230814,BBN,Dividend Payment,1180,0.09,109.62
20230901,20230823,GDO,Dividend Payment,1453,0.10,146.75
20230901,20230823,HIX,Dividend Payment,3000,0.05,147
20230901,20230811,EAD,Dividend Payment,2000,0.05,95.52
20230905,20230727,PFE,Dividend Payment,120,0.41,49.2
20230908,20230901,TLT,Dividend Payment,100,0.29,28.86
20230914,20230906,SDIV,Dividend Payment,900,0.21,189
20230915,20230831,K,Dividend Payment,90,0.60,54
20230921,20230912,CEFD,Dividend Payment,600,0.21,123.9
20230926,20230919,TYD,Dividend Payment,500,0.17,84.3
20230926,20230919,TMF.OLD,Dividend Payment,1800,0.05,90.27
20230926,20230918,RYLD,Dividend Payment,870,0.17,150.18
20230928,20230919,2828,Dividend Payment,4200,0.18,761.72208
20230929,20230914,GBAB,Dividend Payment,1200,0.13,150.88
20230929,20230914,BLW,Dividend Payment,1573,0.10,154.31
20230929,20230914,BBN,Dividend Payment,1180,0.09,109.62
20231002,20230921,GDO,Dividend Payment,1453,0.10,148.21
20231002,20230921,HIX,Dividend Payment,3000,0.05,147
20231002,20230911,EAD,Dividend Payment,2000,0.05,95.38
20231006,20231002,TLT,Dividend Payment,100,0.28,28
20231013,20231004,SDIV,Dividend Payment,900,0.21,189
20231023,20231012,CEFD,Dividend Payment,600,0.26,156.84
20231031,20231012,GBAB,Dividend Payment,1200,0.13,150.88
20231031,20231023,RYLD,Dividend Payment,870,0.16,140.59
20231031,20231013,BLW,Dividend Payment,1573,0.11,169.73
20231031,20231013,BBN,Dividend Payment,1180,0.09,109.62
20231101,20231023,GDO,Dividend Payment,1453,0.10,148.21
20231101,20231023,HIX,Dividend Payment,3000,0.05,147
20231101,20231012,EAD,Dividend Payment,2000,0.05,94.88
20231107,20231101,TLT,Dividend Payment,100,0.29,28.63
20231108,20230928,BTI,Dividend Payment,120,0.71,85.67
20231113,20231103,SDIV,Dividend Payment,900,0.21,189
20231120,20231109,CEFD,Dividend Payment,600,0.19,111.72
20231129,20231120,RYLD,Dividend Payment,870,0.17,145.99
20231130,20231114,BBN,Dividend Payment,1180,0.09,109.62
20231130,20231114,BLW,Dividend Payment,1573,0.11,169.73
20231130,20231114,GBAB,Dividend Payment,1200,0.13,150.88
20231201,20231121,HIX,Dividend Payment,3000,0.05,147
20231201,20231121,GDO,Dividend Payment,1453,0.10,148.21
20231201,20231113,EAD,Dividend Payment,2000,0.05,94.76
20231204,20231109,PFE,Dividend Payment,120,0.41,49.2
20231207,20231201,TLT,Dividend Payment,100,0.29,28.89
20231213,20231205,SDIV,Dividend Payment,900,0.21,189
20231220,20231214,TLT,Dividend Payment,100,0.31,31.05
20231220,20231214,BBN,Dividend Payment,1180,0.09,109.62
20231220,20231214,BLW,Dividend Payment,1573,0.11,169.73
20231221,20231212,CEFD,Dividend Payment,600,0.18,109.68
20231229,20231214,GBAB,Dividend Payment,1200,0.13,150.88
20231229,20231220,GDO,Dividend Payment,1453,0.10,148.21
20231229,20231220,HIX,Dividend Payment,3000,0.05,147
20240102,20231211,EAD,Dividend Payment,2000,0.05,103.46
20231229,20231221,TMF,Dividend Payment,90,0.50,44.76
20231229,20231221,TYD,Dividend Payment,500,0.29,146.37
20240108,20231228,SDIV,Dividend Payment,900,0.21,189
20240124,20240112,CEFD,Dividend Payment,300,0.26,78.84
20240130,20240122,RYLD,Dividend Payment,630,0.17,104.2
20240131,20240111,BLW,Dividend Payment,1573,0.11,169.73
20240131,20240111,GBAB,Dividend Payment,900,0.13,113.16
20240131,20240111,BBN,Dividend Payment,840,0.09,78.04
20240201,20240112,EAD,Dividend Payment,2000,0.05,103.3
20240201,20240123,GDO,Dividend Payment,1453,0.10,148.21
20240201,20240123,HIX,Dividend Payment,2700,0.05,132.3
20240206,20231221,BTI,Dividend Payment,120,0.73,87.82
20240207,20240201,TLT,Dividend Payment,150,0.31,46.52
20240213,20240205,SDIV,Dividend Payment,900,0.21,189
20240221,20240209,CEFD,Dividend Payment,600,0.16,97.26
20240228,20240220,RYLD,Dividend Payment,930,0.16,151.78
20240229,20240214,BBN,Dividend Payment,1180,0.09,109.62
20240229,20240215,GHY,Dividend Payment,600,0.10,63
20240229,20240214,GBAB,Dividend Payment,1200,0.13,150.88
20240229,20240214,BLW,Dividend Payment,1573,0.11,169.73
20240301,20240212,EAD,Dividend Payment,2000,0.05,103.4
20240301,20240221,HIX,Dividend Payment,2700,0.05,132.3
20240301,20240221,GDO,Dividend Payment,1453,0.10,148.21
20240307,20240301,TLT,Dividend Payment,150,0.30,44.29
20240313,20240305,SDIV,Dividend Payment,900,0.21,189
20240320,20240311,CEFD,Dividend Payment,600,0.19,115.08
20240326,20240318,RYLD,Dividend Payment,930,0.17,155.68
20240326,20240319,TYD,Dividend Payment,500,0.03,13.64
20240328,20240314,GHY,Dividend Payment,600,0.10,63
20240328,20240314,BLW,Dividend Payment,1573,0.11,169.73
20240328,20240314,BBN,Dividend Payment,1180,0.09,109.62
20240329,20240314,GBAB,Dividend Payment,1200,0.13,150.88
20240401,20240311,EAD,Dividend Payment,2000,0.05,103.42
20240401,20240320,GDO,Dividend Payment,1453,0.10,148.21
20240401,20240320,HIX,Dividend Payment,2700,0.05,132.3
20240405,20240401,TLT,Dividend Payment,150,0.31,46.86
20240411,20240403,SDIV,Dividend Payment,900,0.19,171
20240422,20240411,CEFD,Dividend Payment,600,0.25,151.08
20240430,20240412,GBAB,Dividend Payment,1200,0.13,150.88
20240430,20240412,BLW,Dividend Payment,1573,0.11,169.73
20240430,20240412,BBN,Dividend Payment,1180,0.09,109.62
20240430,20240411,GHY,Dividend Payment,600,0.10,63
20240430,20240422,RYLD,Dividend Payment,930,0.16,151.4
20240501,20240422,HIX,Dividend Payment,2700,0.05,132.3
20240501,20240422,GDO,Dividend Payment,1453,0.10,148.21
20240501,20240411,EAD,Dividend Payment,2000,0.05,103.48
20240507,20240501,TLT,Dividend Payment,150,0.31,46.16
20240513,20240503,SDIV,Dividend Payment,900,0.19,171
20240521,20240510,CEFD,Dividend Payment,600,0.18,109.62
20240529,20240520,RYLD,Dividend Payment,930,0.17,153.82
20240531,20240514,GBAB,Dividend Payment,1200,0.13,150.88
20240531,20240509,GHY,Dividend Payment,600,0.10,63
20240531,20240514,BBN,Dividend Payment,1180,0.09,109.62
20240531,20240514,BLW,Dividend Payment,1573,0.11,169.73
20240603,20240522,HIX,Dividend Payment,2700,0.05,132.3
20240603,20240522,GDO,Dividend Payment,1453,0.10,148.21
20240603,20240510,EAD,Dividend Payment,2000,0.05,103.84
20240607,20240603,TLT,Dividend Payment,150,0.31,46.24
20240612,20240605,SDIV,Dividend Payment,900,0.19,171
20240621,20240612,CEFD,Dividend Payment,600,0.19,114.72
20240628,20240614,GBAB,Dividend Payment,1200,0.13,150.88
20240628,20240613,GHY,Dividend Payment,600,0.10,63
20240628,20240614,BBN,Dividend Payment,1180,0.09,109.62
20240628,20240614,BLW,Dividend Payment,1573,0.11,169.73
20240701,20240621,GDO,Dividend Payment,1453,0.12,177.27
20240701,20240613,EAD,Dividend Payment,2000,0.05,103.94
20240701,20240624,RYLD,Dividend Payment,930,0.16,149.54
20240701,20240621,HIX,Dividend Payment,2700,0.05,132.3
20240705,20240701,TLT,Dividend Payment,150,0.29,43.67
20240711,20240703,SDIV,Dividend Payment,900,0.19,171
20240723,20240715,CEFD,Dividend Payment,449,0.29,130.61
20240729,20240722,RYLD,Dividend Payment,930,0.16,149.27
20240730,20240627,2828,Dividend Payment,4200,0.08,349.4127
20240731,20240715,GBAB,Dividend Payment,1200,0.13,150.88
20240731,20240715,BBN,Dividend Payment,1180,0.09,109.62
20240731,20240715,BLW,Dividend Payment,1573,0.11,178.06
20240731,20240711,GHY,Dividend Payment,600,0.10,63
20240801,20240724,HIX,Dividend Payment,2700,0.05,132.3
20240801,20240724,GDO,Dividend Payment,1453,0.12,177.27
20240801,20240711,EAD,Dividend Payment,2000,0.05,104.2
20240806,20240801,TLT,Dividend Payment,94,0.31,29.6
20240812,20240805,SDIV,Dividend Payment,900,0.19,171
20240820,20240812,CEFD,Dividend Payment,449,0.21,95.01
20240826,20240819,RYLD,Dividend Payment,930,0.16,149.54
20240830,20240815,BBN,Dividend Payment,1180,0.09,109.62
20240830,20240815,GBAB,Dividend Payment,1200,0.13,150.88
20240830,20240808,GHY,Dividend Payment,600,0.10,63
20240830,20240815,BLW,Dividend Payment,1573,0.11,178.06
20240903,20240812,EAD,Dividend Payment,2000,0.05,104.42
20240903,20240823,GDO,Dividend Payment,1453,0.12,177.27
20240903,20240823,HIX,Dividend Payment,2700,0.05,132.3
20240906,20240903,TLT,Dividend Payment,94,0.31,29.4
20240912,20240905,SDIV,Dividend Payment,900,0.19,171
20240923,20240913,CEFD,Dividend Payment,449,0.23,103.14
20240927,20240920,2828,Dividend Payment,4200,0.12,513.3135
20240930,20240913,GBAB,Dividend Payment,1200,0.13,150.88
20240930,20240923,RYLD,Payment In Lieu,930,0.16,150.38
20240930,20240916,BLW,Dividend Payment,1573,0.11,178.06
20240930,20240916,BBN,Dividend Payment,1180,0.09,109.62
20240930,20240912,GHY,Dividend Payment,600,0.10,63
20241001,20240913,EAD,Dividend Payment,2000,0.05,104.62
20241004,20241001,TLT,Dividend Payment,94,0.32,29.68
20241010,20241003,SDIV,Dividend Payment,900,0.19,172.8
20241021,20241011,CEFD,Dividend Payment,449,0.29,129.54
20241028,20241021,RYLD,Dividend Payment,930,0.05,43.53
20241028,20241021,RYLD,Payment In Lieu,930,0.12,110.39
20241031,20241015,GBAB,Payment In Lieu,1200,0.00,0.5
20241031,20241015,BKT,Dividend Payment,1500,0.09,132.3
20241031,20241010,GHY,Dividend Payment,600,0.10,63
20241031,20241015,BBN,Dividend Payment,1180,0.09,109.62
20241031,20241015,BLW,Dividend Payment,1573,0.11,178.06
20241031,20241015,GBAB,Dividend Payment,1200,0.13,150.37
20241101,20241015,EAD,Dividend Payment,2000,0.05,104.94
20241106,20241101,TLT,Dividend Payment,34,0.31,10.56
20241113,20241105,SDIV,Dividend Payment,900,0.19,172.8
20241120,20241112,CEFD,Dividend Payment,449,0.22,100.22
20241125,20241118,RYLD,Dividend Payment,930,0.17,154.19
20241129,20241121,EXG,Dividend Payment,1390,0.07,91.32
20241129,20241113,DSL,Dividend Payment,915,0.11,100.65
20241129,20241115,VLT,Dividend Payment,1022,0.10,98.52
20241129,20241115,BBN,Dividend Payment,1180,0.09,109.62
20241129,20241115,BKT,Dividend Payment,1500,0.09,132.3
20241129,20241115,BLW,Dividend Payment,1573,0.11,178.06
20241129,20241115,AVK,Dividend Payment,1050,0.12,123.06
20241129,20241115,GBAB,Dividend Payment,1200,0.13,150.88
20241129,20241114,GHY,Dividend Payment,1500,0.10,157.5
20241202,20241112,EAD,Dividend Payment,2000,0.05,105.4
20241202,20241121,GDO,Dividend Payment,970,0.12,118.34
20241205,20241202,TLT,Dividend Payment,34,0.33,11.05
20241211,20241204,SDIV,Dividend Payment,900,0.20,176.4
20241223,20241213,CEFD,Dividend Payment,449,0.23,105.2
20241223,20241218,TLT,Dividend Payment,34,0.35,11.94
20241223,20241218,SHY,Dividend Payment,80,0.28,22.43
20241223,20241216,BBN,Dividend Payment,1180,0.09,109.62
20241223,20241216,BLW,Dividend Payment,1573,0.11,178.06
20241223,20241216,BKT,Dividend Payment,1500,0.09,132.3
20241231,20241217,VLT,Dividend Payment,1022,0.10,98.52
20241231,20241223,EXG,Dividend Payment,1390,0.07,91.32
20241231,20241212,GHY,Dividend Payment,1500,0.10,157.5
20241231,20241218,DSL,Dividend Payment,915,0.11,100.65
20241231,20241213,GBAB,Dividend Payment,1200,0.13,150.88
20241231,20241223,GDO,Dividend Payment,970,0.12,118.34
20241231,20241213,AVK,Dividend Payment,1050,0.12,123.06
20250102,20241212,EAD,Dividend Payment,2000,0.05,106.12
20250107,20241230,RYLD,Dividend Payment,930,0.17,154.75
20250107,20241230,SDIV,Dividend Payment,900,0.20,176.4
20250109,20241226,GHY,Dividend Payment,1500,0.10,157.5
20250122,20250113,CEFD,Dividend Payment,449,0.30,134.88
20250128,20250121,RYLD,Dividend Payment,930,0.17,156.43
20250131,20250115,BKT,Dividend Payment,1500,0.09,132.3
20250131,20250115,DSL,Dividend Payment,915,0.11,100.65
20250131,20250115,EXG,Dividend Payment,1390,0.07,91.32
20250131,20250115,BBN,Dividend Payment,1180,0.09,109.62
20250131,20250115,BLW,Dividend Payment,1573,0.11,178.06
20250131,20250117,VLT,Dividend Payment,1022,0.10,98.52
20250131,20250115,GBAB,Dividend Payment,1200,0.13,150.88
20250131,20250115,AVK,Dividend Payment,1050,0.12,123.06
20250203,20250113,EAD,Dividend Payment,2000,0.05,106.62
20250203,20250124,GDO,Dividend Payment,970,0.12,118.34
20250206,20250203,TLT,Dividend Payment,34,0.31,10.62
20250212,20250205,SDIV,Dividend Payment,900,0.19,173.7
20250221,20250212,CEFD,Dividend Payment,449,0.22,96.8
20250228,20250218,VLT,Dividend Payment,1022,0.10,98.52
20250228,20250213,GHY,Dividend Payment,1500,0.10,157.5
20250228,20250214,GBAB,Dividend Payment,1200,0.13,150.88
20250228,20250214,AVK,Dividend Payment,1050,0.12,123.06
20250228,20250219,DSL,Dividend Payment,915,0.11,100.65
20250228,20250214,EXG,Dividend Payment,1390,0.07,91.32
20250228,20250214,BBN,Dividend Payment,1180,0.09,109.62
20250228,20250214,BKT,Dividend Payment,1500,0.09,132.3
20250228,20250214,BLW,Dividend Payment,1573,0.11,178.06
20250303,20250213,EAD,Dividend Payment,2000,0.05,106.8
20250303,20250221,WDI,Dividend Payment,755,0.15,112.12
20250303,20250224,RYLD,Dividend Payment,930,0.16,151.31
20250306,20250303,TLT,Dividend Payment,34,0.29,9.85
20250312,20250305,SDIV,Dividend Payment,900,0.20,180
20250321,20250313,CEFD,Dividend Payment,449,0.23,102.37
20250331,20250314,ECAT,Dividend Payment,715,0.31,218.99
20250331,20250314,EXG,Dividend Payment,1390,0.07,91.32
20250331,20250313,GHY,Dividend Payment,1500,0.10,157.5
20250331,20250314,GBAB,Dividend Payment,1200,0.13,150.88
20250331,20250314,AVK,Dividend Payment,1050,0.12,123.06
20250331,20250314,BKT,Dividend Payment,1500,0.09,132.3
20250331,20250314,BLW,Dividend Payment,1573,0.11,178.06
20250331,20250314,BBN,Dividend Payment,1180,0.09,109.62
20250331,20250324,RYLD,Dividend Payment,930,0.15,142.94
20250331,20250319,DSL,Dividend Payment,915,0.11,100.65
20250401,20250313,EAD,Dividend Payment,2000,0.05,106.92
20250401,20250324,WDI,Dividend Payment,755,0.15,112.12
20250404,20250401,TLT,Dividend Payment,34,0.33,11.07
20250410,20250403,SDIV,Dividend Payment,890,0.20,173.55
